NAAM;RECHTSVORM;ADRES;POSTCODE;PLAATS;TRANSPORT MANAGER;VERGUNNING;GELDIG TOT;AANTAL;;
V.o.f. Fa. Sijbranda & Zn.;VOF;Jeltewei 234;8622 DC;HOMMERTS;L.  Sijbranda;NAT;;2;;
Stutvoet B.V.;BV;W.H. Bosgrastraat 64;9665 PG;OUDE PEKELA;J.J.H.  Stutvoet;EUR;15-09-18;16;;
Jappie Smids V.O.F.;VOF;Voorstraat 8;9291 CK;KOLLUM;J.  Smids;NAT;;2;;
LEHNKERING Chemical Transport B.V.;BV;Waalhaven O.z. 77;3087 BM;ROTTERDAM;M.M.O.L.  Terpstra-Koebrugge;EUR;01-01-18;43;;
Schans Transportbedrijf Beilen B.V.;BV;Torenlaan 38;9411 KE;BEILEN;J.  Schans;NAT;;2;;
J.A. Koopman, h.o.n. Transportbedrijf Koopman;Eenmanszaak;Henric de Cranestraat 42;8374 KP;KUINRE;J.A.  Koopman;EUR;29-11-15;1;;
A. Scheffers, h.o.n. Transportbedrijf Scheffers;Eenmanszaak;Eexterweg 10;9468 TH;ANNEN;A.  Scheffers;NAT;;1;;
A.J. de Ruiter, h.o.n. De Ruiter Handelsonderneming;Eenmanszaak;Overijsselsestraatweg 18;9008 TS;REDUZUM;A.J. de Ruiter;NAT;;2;;
Roelinga's Expeditie- en Grondbedrijf B.V.;BV;Hagewyk 49;9202 AJ;DRACHTEN;J.  Roelinga;NAT;;5;;
Reidinga Wegenbouwbedrijf B.V.;BV;De Dellen 43;9231 EA;SURHUISTERVEEN;J. van der Kooy;NAT;;1;;
Noordelijke Transport Maatschappij (N.T.M.) B.V.;BV;Schoolstraat 21;9781 JL;BEDUM;P.G.  Bronsema;EUR;20-07-17;5;;
Schenker Transport Groep B.V.;BV;Emma Goldmanweg 1;5032 MN;TILBURG;J.A.M.  Cleijsen;EUR;12-02-18;51;;
Transportbedrijf Haumann B.V.;BV;Halve Maan 5  A;5855 ED;WELL;O.F.W.  Peter;EUR;21-04-18;26;;
Rimatrans Nieuw-Weerdinge B.V.;BV;Vledderdiep 14;7831 TZ;NIEUW WEERDINGE;L.  Dol-Kiel;EUR;23-10-17;1;;
Poelman Zandhandel B.V.;BV;Scheiding 43 B;9865 VB;OPENDE;E.  Poelman;NAT;;10;;
A.P. Pilat, h.o.n. Fa. Pilat en Zn.;Eenmanszaak;Lagelandsterweg 115;9982 BE;UITHUIZERMEEDEN;A.P.  Pilat;NAT;;1;;
TNT Express Nederland B.V.;BV;Taurusavenue 111;2132 LS;HOOFDDORP;I.W.H.  Blanke;EUR;01-01-18;220;;
Transportbedrijf Mink B.V.;BV;Scharren 37;8517 HM;SCHARSTERBRUG;P.K.  Mink;EUR;18-12-17;5;;
Melkweg | Fritom B.V.;BV;De Wijmerts 7;8701 WT;BOLSWARD;J.  Breeuwsma;EUR;01-01-18;22;;
Walon B.V.;BV;Ramshoorn 4;4824 AG;BREDA;J.F.A.  Wesselman;EUR;01-01-18;40;;
Stummel Trans B.V.;BV;Woldstraat 14 04;7941 LJ;MEPPEL;A.  Stummel;EUR;22-03-20;2;;
M. Lamberts, h.o.n. Transportbedrijf Tinus Lamberts;Eenmanszaak;Annerweg 11;9471 KS;ZUIDLAREN;M.  Lamberts;NAT;;1;;
V.o.f. Transportbedrijf K. Lautenbag;VOF;Teeuwes de Boerstraat 42;8574 SC;BAKHUIZEN;J.  Lautenbag-Minnema;EUR;23-04-18;1;;
Zwatra B.V.;BV;Schieweg 14;2627 AN;DELFT;R.  Egas;EUR;01-01-18;56;;
