NAAM;RECHTSVORM;ADRES;POSTCODE;PLAATS;TRANSPORT MANAGER;VERGUNNING;GELDIG TOT;AANTAL;;
Toine de Jong & Zn. V.o.f.;VOF;Leerlooierij 22;4651 SM;STEENBERGEN;;EUR;28-04-19;3;;
Quaedvlieg-Beaujean Maatschappij tot Exploitatie van Zand- en Grintgroeven B.V.;BV;Roebroekweg 29;6414 BA;HEERLEN;;EUR;01-01-18;2;;
De Bresser Verhuizingen B.V.;BV;Schijfstraat 13;5061 KA;OISTERWIJK;;EUR;25-10-15;10;;
V.o.f. Fa. Gebr. op 't Hof;VOF;Ooststraat 52;4421 EC;KAPELLE;;EUR;07-04-18;8;;
Lunenburg Transport V.o.f.;VOF;Dorpsstraat 17;5472 PH;LOOSBROEK;;EUR;15-04-18;5;;
Van der Wees Wegtransporten B.V.;BV;'s-Gravendeelsedijk 100;3316 AZ;DORDRECHT;;EUR;30-06-18;11;;
Sluyter Logistics Rotterdam B.V.;BV;Bergweg-Zuid 98 A;2661 CV;BERGSCHENHOEK;;EUR;01-01-18;55;;
Theo Heijmans Transport B.V.;BV;Oude Baan 39;5242 HT;ROSMALEN;;NAT;;3;;
Transportbedrijf J.L. van Rijn & Zn. B.V.;BV;Klaverblad 12;2266 JK;LEIDSCHENDAM;;EUR;01-01-18;14;;
Internationaal Transportbedrijf Kuys B.V.;BV;Nassaulaan 61-71;5251 JB;VLIJMEN;;EUR;01-01-18;15;;
V.o.f. Transportbedrijf Herrebout;VOF;Mr. F.J. Haarmanweg 14;4538 AR;TERNEUZEN;;EUR;12-04-19;11;;
B.V. Gebrs. Schouten Polsbroek, Expeditie, Transporten, Verhuizingen en Autobevrachting;BV;Dorp 90 B;3415 PH;POLSBROEK;;EUR;01-01-18;32;;
Heeren's Transportbedrijf B.V.;BV;Kruisvelden 1;4873 HK;ETTEN-LEUR;;EUR;04-12-17;4;;
Transportbedrijf Van Mensvoort B.V.;BV;Udenseweg 16;5464 VA;VEGHEL;;EUR;17-05-15;5;;
Van Ede Investments B.V.;BV;Verlengde Hoge Klei 60;2242 NS;WASSENAAR;;EUR;01-01-18;8;;
Gebr. Voets Transport B.V.;BV;Vinkenveld 4;5249 JP;ROSMALEN;;NAT;;1;;
Transportbedrijf Wieland B.V.;BV;Noordpolderstraat 2;4571 LR;AXEL;;EUR;01-01-18;3;;
Hannewijk Transporten V.o.f.;VOF;Slagtweistraat 3;4436 AM;OUDELANDE;;EUR;22-03-20;2;;
Transportbedrijf Huigevoort B.V.;BV;Bedrijvenweg 20;5272 PB;SINT MICHIELSGESTEL;;EUR;07-06-15;33;;
De Haas Transport B.V.;BV;Rijksweg 12 A;5386 LD;GEFFEN;;EUR;11-01-20;6;;
Van Graefschepe Transport B.V.;BV;Oude Eedweg 2;4529 PN;EEDE;;EUR;02-06-18;1;;
Goud Transport B.V.;BV;Havenoordseweg 7;4414 RK;WAARDE;;EUR;01-01-18;14;;
Van Gool Transport B.V.;BV;Hoofdstraat 24;5109 AC;'s-GRAVENMOER;;EUR;02-07-17;15;;
Jac. van Gool B.V.;BV;Slibbroek 5;5081 NR;HILVARENBEEK;;EUR;18-12-16;5;;
Gloudemans Transporten Vinkel B.V.;BV;Koksteeg 3;5381 HA;VINKEL;;EUR;02-06-18;10;;
Stens Transport B.V.;BV;Industrieweg 42;7951 TA;STAPHORST;;EUR;16-06-18;11;;
V.o.f. Firma G. Fieret-Dekker en Zonen;VOF;Veerhoekpolderweg 1;4501 NM;OOSTBURG;;EUR;14-07-18;4;;
V.o.f. v.d. Stek-Transport;VOF;Weelsedijk 59;3291 LR;STRIJEN;;EUR;01-01-18;5;;
A.P. Fens, h.o.n. Transportbedrijf Jos Fens;Eenmanszaak;Oude Baan 8;5125 NG;HULTEN;;EUR;30-06-16;1;;
Transportbedrijf Faro B.V.;BV;Ruytenbergweg 11;5165 NT;WASPIK;;EUR;07-02-16;33;;
Gebr. Dijkhoff B.V.;BV;Heeswijkseweg 7;5473 KV;HEESWIJK-DINTHER;;EUR;22-08-17;5;;
V.o.f. G.C. Thies Transport;VOF;Zeilmakerstraat 27;9403 VA;ASSEN;;EUR;01-01-18;1;;
Van der Donk Transport B.V.;BV;Brugstraat 70;5382 JE;VINKEL;;NAT;;11;;
Defacto B.V.;BV;Industrieweg 7;5145 PD;WAALWIJK;;NAT;;1;;
Transporten Veens Herveld B.V.;BV;Wageningsestraat 11;6673 DA;ANDELST;;EUR;01-01-18;43;;
Gebr. Coremans Grondwerken B.V.;BV;Sprundelsebaan 183;4838 GN;BREDA;;EUR;20-07-15;18;;
G.B. van Velthoven Internationaal Transport B.V.;BV;Antoniusstraat 54;6603 DV;WIJCHEN;;EUR;01-01-18;1;;
P.A. van Oorschot Transport B.V.;BV;Aristotelesstraat 10;3076 BD;ROTTERDAM;;EUR;01-01-18;5;;
C.A. den Dekker;Eenmanszaak;Grotestraat 57;4264 RJ;VEEN;;EUR;01-01-18;1;;
Driessen Speciaal Transport B.V.;BV;Handelstraat 5;5961 PV;HORST;;EUR;01-01-18;39;;
Roseboom Transport B.V.;BV;Galvanistraat 125;6716 AE;EDE;;EUR;01-01-18;19;;
Aannemers- en Transportbedrijf Van de Corput B.V.;BV;Oirschotseweg 88;5684 NL;BEST;;EUR;19-12-17;4;;
De Wit Transport Hillegom B.V.;BV;1e Loosterweg 30;2182 BM;HILLEGOM;;EUR;01-01-18;86;;
V.o.f. C.W. Bijl en Zn;VOF;Nijverheidsweg 9;4695 RC;SINT MAARTENSDIJK;;EUR;02-12-18;5;;
Transportbedrijf Jac. Caron B.V.;BV;Handelsweg 7;4906 CK;OOSTERHOUT;;EUR;14-11-16;59;;
Aannemingsmaatschappij A. van Casteren Tilburg B.V.;BV;Siriusstraat 35;5015 BT;TILBURG;;EUR;17-03-18;4;;
M.H.J. de Bruijn, h.o.n. M. de Bruijn Transport;Eenmanszaak;Herelsestraat 76;4726 AG;HEERLE;;EUR;16-04-16;1;;
Internationaal Transportbedrijf K. van den Berg B.V.;BV;De Grote Kranerweerd 4;8064 PE;ZWARTSLUIS;;EUR;01-01-18;19;;
L.J. v.d. Camp M.W.W. v.d. Camp Janssen V.o.f., h.o.n. Transport en Agrarischbedrijf L.J.;VOF;Tiendweg 2;5396 NR;LITHOIJEN;;NAT;;1;;
J.M.P. Buijnsters, h.o.n. J. Buijnsters;Eenmanszaak;Hilsebaan 125;4873 LH;ETTEN-LEUR;;EUR;23-02-20;1;;
P.J.A. d' Haens, h.o.n. d' Haens Transportbedrijf;Eenmanszaak;Havenstraat 17;4569 TK;GRAAUW;;EUR;01-01-18;2;;
A.J. Jongeneel en Zonen Transport B.V.;BV;Voorschoterweg 52  A;2235 SH;VALKENBURG;;EUR;01-01-18;110;;
Van der Wal Transport B.V.;BV;Nijverheidsweg 33;3534 AM;UTRECHT;;EUR;01-01-18;101;;
Van den Broek Sloopwerken Oss B.V.;BV;Friezenweg 18;5349 AW;OSS;;NAT;;2;;
Transportbedrijf Bouwman V.O.F.;VOF;Lindelaan 33;4325 ED;RENESSE;;NAT;;2;;
Sluyter Logistics Assen B.V.;BV;Blokmakerstraat 8;9403 VD;ASSEN;;EUR;01-01-18;50;;
V.o.f. Firma Bos;VOF;Reeweg 2;4417 PB;HANSWEERT;;EUR;10-01-16;1;;
A. van Dorst en Zonen B.V.;BV;Ettensebaan 6;4814 NN;BREDA;;EUR;01-01-18;7;;
Grondverzet- en Transportbedrijf v. d. Bogaard B.V.;BV;Hemelrijkstraat 29;5271 TX;SINT MICHIELSGESTEL;;EUR;30-11-16;9;;
Groot koerkamp B.V.;BV;'t Zeegsveld 4;8141 NT;HEINO;;EUR;07-04-18;9;;
Boudesteijn Transporten B.V.;BV;Flevoland 1;1948 RH;BEVERWIJK;;EUR;01-01-18;17;;
E.A. Bergers Transport B.V.;BV;Hunnenpad 6;5349 BG;OSS;;EUR;05-05-18;7;;
V.o.f. Firma Van den Berg Geffen;VOF;Papendijk 28;5386 ED;GEFFEN;;NAT;;2;;
Aannemersbedrijf J.J. van der Berg en Zn. B.V.;BV;Heeseind 8;5392 PC;NULAND;;NAT;;1;;
A.F.W. van den Berg, h.o.n. Transportbedrijf H.A. van den Berg en Zn.;Eenmanszaak;Brugstraat 63;5382 JC;VINKEL;;NAT;;1;;
Kisjes Transport B.V.;BV;Vlijtsekade  101;7317 AP;APELDOORN;;EUR;01-01-18;14;;
Roelofs Internationaal Transport B.V.;BV;Copernicusstraat 9;6604 CR;WIJCHEN;;EUR;01-01-18;10;;
Van Noort Bedrijven B.V.;BV;Coenecoop 449;2741 PP;WADDINXVEEN;;EUR;01-01-18;30;;
Internationaal Transportbedrijf Overbeek B.V.;BV;Butaanweg 50;3196 KC;VONDELINGENPLAAT-ROTTERDAM;;EUR;01-01-18;36;;
P. Sevriens Jr. B.V.;BV;Annendaalderweg 1;6105 AR;MARIA HOOP;;EUR;01-01-18;46;;
P. Bek Transport B.V.;BV;'s-Gravenstraat 15;4567 AA;CLINGE;;EUR;13-09-15;4;;
Beerendonk Mesthandel B.V.;BV;Bolbaan 20;4751 RL;OUD-GASTEL;;EUR;14-03-16;7;;
Transportbedrijf P.A.M. Derks B.V.;BV;Karstraat 21-23;6681 LA;BEMMEL;;EUR;01-01-18;19;;
Bartels Transporten B.V.;BV;Gareelweg 26;4727 TB;MOERSTRATEN;;EUR;01-01-18;25;;
V.o.f. Firma v.d. Wardt Transport, h.o.n. Huijsman Transport;VOF;Meidoornstraat 40;1505 TV;ZAANDAM;;EUR;01-01-18;6;;
W.E.G. Barten Den Bosch B.V.;BV;Graaf van Solmsweg 101;5222 BS;'s-HERTOGENBOSCH;;NAT;;4;;
Bakx Roosendaal Transport B.V.;BV;Passenberg 4;4707 RL;ROOSENDAAL;;EUR;22-03-20;29;;
Van Bakel & Zn. Transporten B.V.;BV;Tubantenweg 22;5349 BD;OSS;;EUR;22-02-20;22;;
Abrahams Bouwmaterialen B.V.;BV;Tilburgseweg 8;5081 XJ;HILVARENBEEK;;EUR;03-05-20;1;;
J.A.C. Augustijn, h.o.n. Jan Augustijn Transport;Eenmanszaak;Moerstraatseweg 59;4727 SK;MOERSTRATEN;;EUR;01-01-18;4;;
A.H.M. Antonius;Eenmanszaak;Hoogstraat 25;5095 AB;HOOGE MIERDE;;EUR;20-07-15;2;;
Internationaal Transportbedrijf Van der Heijden B.V.;BV;Diamantweg 64;5527 LC;HAPERT;;EUR;01-01-18;84;;
W. Roest, h.o.n. W. Roest Verhuizingen;Eenmanszaak;De Steiger 203;1351 AW;ALMERE;;EUR;22-01-20;2;;
W.H. van Dijk, h.o.n. W.H. van Dijk Transport                                                                             ; Eenmanszaak;Kon. Wilhelminaweg 66;3958 CP;AMERONGEN;;EUR;21-04-18;1;;
Banis Verhuizingen B.V.                                                                                                                  ;BV;Oosteinde 3;1401 VN;BUSSUM;;EUR;01-01-18;5;;
V.o.f. Verwey Transport                                                                                                                  ;VOF;De Olmen 19;3203 AD;SPIJKENISSE;;EUR;29-09-19;2;;
Den Otter Transporten B.V.                                                                                                           ; BV;Fennaweg 26;2991 ZA;BARENDRECHT;;EUR;01-01-18;24;;
A.M.P. B.V.                                                                                                                                      ;BV;Victoriberg 18;2211 DH;NOORDWIJKERHOUT;;NAT;;3;;
Transportbedrijf Van der Star v.o.f.                                                                                                ;VOF;Pieter van Hemerenplantsoen 36;2355 BR;HOOGMADE;;NAT;;1;;
Verenigde Haagse Transportbedrijven Transport Unie B.V.                                                         ;BV;Turbineweg 6;2627 BP;DELFT;;EUR;24-11-19;15;;
Soons Verhuizingen B.V.                                                                                                                 ;BV;Kampstraat 40;6163 HG;GELEEN;;EUR;01-01-18;4;;
W. Blazer                                                                                                                                         ; Eenmanszaak;Vliststraat 12;3044 ET;ROTTERDAM;;NAT;;2;;
H. Blokland                                                                                                                                       ;Eenmanszaak;Muisbroekseweg 39;3381 KM;GIESSENBURG;;EUR;29-12-19;1;;
M. Blijleven en Zonen V.o.f.                                                                                                            ;VOF;Lokhorst 63;2402 PR;ALPHEN A/D RIJN;;EUR;10-01-16;6;;
Transportbedrijf Louis Wittendorp Klazienaveen B.V.                                                                  ;BV;Energiestraat 15;7891 GW;KLAZIENAVEEN;;EUR;01-01-18;7;;
V.o.f. Fa. H. Bouwmeester en Zonen                                                                                             ;VOF;De Hondert Margen 20;2678 AC;DE LIER;;EUR;05-07-15;4;;
A.J.M. Bouman Olietransport B.V.                                                                                                  ;BV;Woudweg 8;3123 KB;SCHIEDAM;;NAT;;2;;
V.o.f. Fa. J. Schonewille en Zonen                                                                                                 ;VOF;Verlengde Middenraai 131;7938 PC;NIEUW BALINGE;;EUR;01-01-18;7;;
Hoek Containerbedrijf B.V.                                                                                                             ;BV;Rietdekkersweg 17;3449 JC;WOERDEN;;EUR;02-03-19;19;;
"Schoonmaakbedrijf ""De Toekomst"" V.o.f. h.o.n. Coevorder Couriersdienst                               ";VOF;Modem 14;7741 MJ;COEVORDEN;;NAT;;1;;
F.A. Grevers                                                                                                                                     ;Eenmanszaak;Hijinkhoekweg 13;7108 BE;WINTERSWIJK WOOLD;;EUR;01-01-18;1;;
V.o.f. Transportbedrijf W. Buitendijk en Zn.                                                                                   ;VOF;Vlasstraat 22;3214 AW;ZUIDLAND;;EUR;10-01-16;2;;
Transport- en Verhuisbedrijf Molthof B.V.;BV;Ainsworthstraat 18  A;7575 BT;OLDENZAAL;;EUR;01-01-18;0;;
E. Stam                                                                                                                                             ;Eenmanszaak;Wolga 111;2911 RD;NIEUWERKERK A/D IJSSEL;;EUR;06-08-15;1;;
Kees Becker Logistiek B.V.                                                                                                             ;BV;Industrieweg 9;3899 AT;ZEEWOLDE;;EUR;01-01-18;32;;
Transportbedrijf Simons Velden B.V.                                                                                             ;BV;Rijksweg 75;5941 AB;VELDEN;;EUR;01-01-18;40;;
Transportbedrijf K. Rademaker B.V.                                                                                              ;BV;Tramwijk ZZ 26;7831 GH;NIEUW WEERDINGE;;EUR;01-01-18;1;;
Transportbedrijf W. van Kommer B.V.                                                                                           ;BV;Ambachtsweg 24;3771 MG;BARNEVELD;;EUR;01-01-18;34;;
John Pronk Transport B.V.                                                                                                              ;BV;West 8;1633 JA;AVENHORN;;EUR;01-01-18;40;;
Melktransport Van der Bijl B.V.                                                                                                       ;BV;Achtermiddenweg 2 B;2445 AA;AARLANDERVEEN;;NAT;;5;;
A.J. van Dalsen, h.o.n. A.J. van Dalsen Transport                                                                        ;Eenmanszaak;Plantagebaan 151;4725 AA;WOUWSE PLANTAGE;;EUR;17-04-19;1;;
Vos Transport B.V.                                                                                                                          ;BV;Londenstraat 5;7418 EE;DEVENTER;;EUR;01-01-18;116;;
Transportbedrijf Jan Deenen B.V.                                                                                                  ;BV;Beemdweg 14;5861 CR;WANSSUM;;EUR;01-01-18;8;;
Windhorst Transport B.V.                                                                                                                ;BV;Belgielaan 4;2391 PE;HAZERSWOUDE-DORP;;EUR;01-01-18;20;;
Vogel Verhuis Groep B.V., h.o.n. Vogel Verhuizingen-Mondial Movers                                      ;BV;Oude Veerseweg 20;4332 SH;MIDDELBURG;;EUR;01-01-18;6;;
H.A.L. Eisink, h.o.n. Eisink Transport                                                                                             ;Eenmanszaak;Wandersweg 17;7104 DD;WINTERSWIJK MEDDO;;EUR;01-01-18;1;;
Verhuis- en Transportbedrijf C. den Dikken V.o.f.                                                                        ;VOF;Rivierdijk 823;3371 EN;HARDINXVELD-GIESSENDAM;;EUR;20-12-15;4;;
B.V. Expeditiebedrijf v/h W.J. Rutters en Zonen                                                                           ;BV;Hoofdstraat 147;5121 JD;RIJEN;;EUR;01-01-18;20;;
Van 't Verlaat Handel- en Transportbedrijf B.V.                                                                            ;BV;Havenstraat 2-4;3372 BD;HARDINXVELD-GIESSENDAM;;EUR;01-01-18;10;;
BELA Transport B.V.                                                                                                                       ;BV;Parlevinkerweg 8;5928 NV;VENLO;;EUR;01-01-18;51;;
Doeleman Logistiek B.V.                                                                                                                 ;BV;Distributieweg 3;2742 RB;WADDINXVEEN;;EUR;30-03-19;16;;
Titanex B.V.                                                                                                                                      ;BV;Ravenswade 130;3439 LD;NIEUWEGEIN;;EUR;01-01-18;16;;
G. Dullemond, h.o.n. G. Dullemond Transport                                                                               ;Eenmanszaak;Torenweg 12;3235 NS;ROCKANJE;;EUR;29-11-15;1;;
Henk Dammes B.V.                                                                                                                         ;BV;Alfred Nobelstraat 18;2665 KZ;BLEISWIJK;;EUR;01-01-18;39;;
G.A. Duivenvoorden                                                                                                                       ; Eenmanszaak;Egelantier 6;2211 NN;NOORDWIJKERHOUT;;EUR;02-07-17;2;;
Koolwijk Polsbroek B.V.                                                                                                                  ;BV;Transportstraat 2;2861 DZ;BERGAMBACHT;;EUR;01-01-18;80;;
Ecatrans B.V.                                                                                                                                   ;BV;Groeneweg 44;3059 LC;ROTTERDAM;;EUR;30-11-19;1;;
W. van Erkel                                                                                                                                     ;Eenmanszaak;Noorderstraat 13;2922 AB;KRIMPEN A/D IJSSEL;;NAT;;1;;
Bos Transport en Overslag B.V.                                                                                                     ;BV;Zuidplaspolderweg 17;2841 DC;MOORDRECHT;;NAT;;8;;
V.o.f. Internationaal Transport Gebr. Strijk                                                                                     ;VOF;Norgerweg 105;9494 PA;YDE;;EUR;01-01-18;6;;
Krabbenborg Transport B.V.                                                                                                           ;BV;Ruurloseweg 10;7136 MD;ZIEUWENT;;EUR;01-01-18;13;;
Van Gennep Verhuizers B.V.                                                                                                          ;BV;Ambachtweg 38;2841 LZ;MOORDRECHT;;NAT;;3;;
Wetron Internationale Transporten B.V.                                                                                         ;BV;Graafschap Hornelaan 139;6001 AC;WEERT;;EUR;01-01-18;40;;
Bakker Transport Vianen B.V.                                                                                                        ;BV;Industrieweg 5;4131 NK;VIANEN;;EUR;01-01-18;10;;
L.M. Goud                                                                                                                                         ;Eenmanszaak;Gatsedijk 37;3299 LA;MAASDAM;;EUR;23-02-20;1;;
Merema Transport B.V.                                                                                                                   ;BV;Steenweg 5;9936 BP;FARMSUM;;EUR;01-01-18;10;;
J.E. Geldermans, h.o.n. Transportbedrijf J. Geldermans                                                             ;Eenmanszaak;de Visscherstraat 18;1947 GW;BEVERWIJK;;NAT;;1;;
R.W. Troost, h.o.n. Troost - Transport                                                                                           ;Eenmanszaak;Gasgracht 20;7941 KE;MEPPEL;;EUR;23-02-20;1;;
J.J. van Haaren Transport B.V.                                                                                                      ;BV;Graafseweg 946;6603 CR;WIJCHEN;;EUR;01-01-18;12;;
P.N. Koomen, h.o.n. Koomen Transport                                                                                        ;Eenmanszaak;Kerkweg 5;2461 GB;TER AAR;;EUR;01-01-18;1;;
HTG Transport B.V.                                                                                                                         ;BV;Wolbrandsstraat 43;3312 PV;DORDRECHT;;NAT;;1;;
G. de Groot, h.o.n. Wed. De Groot en Zoon Transportonderneming                                           ;Eenmanszaak;Bermweg 38;2906 LC;CAPELLE A/D IJSSEL;;EUR;13-09-15;2;;
V.o.f. Tammenga en Zn.                                                                                                                 ;VOF;Hoofdweg 43;9628 CK;SIDDEBUREN;;EUR;02-07-17;3;;
B. de Gunst, h.o.n. Transportbedrijf Bas de Gunst                                                                        ;Eenmanszaak;Bentweg 4;2391 JH;HAZERSWOUDE-DORP;;EUR;10-10-17;1;;
R.A.B. den Haan                                                                                                                              ;Eenmanszaak;Noordzijde 26;2977 AD;GOUDRIAAN;;NAT;;2;;
R.B.C. Transport B.V.                                                                                                                      ;BV;Wageningse Afweg 11;6702 PD;WAGENINGEN;;EUR;01-01-18;85;;
Transportbedrijf Joh. A. Hak V.o.f.                                                                                                ;VOF;Schoonenburglaan 62;2957 BD;NIEUW LEKKERLAND;;EUR;09-02-20;3;;
V.o.f. De Heer Transport                                                                                                                 ;VOF;A. van 't Hartweg 15;2913 LE;NIEUWERKERK A/D IJSSEL;;EUR;10-07-17;3;;
J. de Heer, h.o.n. Joh. de Heer                                                                                                       ;Eenmanszaak;Knibbelweg 97;2761 JC;ZEVENHUIZEN;;EUR;30-03-19;1;;
A. Staal-Hartgers B.V.                                                                                                                     ;BV;1e Wormenseweg 88;7331 DJ;APELDOORN;;EUR;01-01-18;6;;
V.o.f. Firma A.H. Koolhaas en Zoon                                                                                              ;VOF;Vronen 16;2151 PC;NIEUW-VENNEP;;EUR;01-01-18;4;;
Soetens Internationale Transporten B.V.                                                                                       ;BV;Nobelstraat 22;5051 DV;GOIRLE;;EUR;01-01-18;5;;
M. Hoenderop, h.o.n. M. Hoenderop Truckverhuur                                                                       ;Eenmanszaak;Emmastraat 46;3274 AC;HEINENOORD;;EUR;29-05-17;2;;
Jacobs Verhuizingen B.V.                                                                                                               ;BV;Markweg 19;6883 JL;VELP;;EUR;20-01-18;14;;
Buko Transport B.V.;BV;BUKO Bedrijvenpark 2;1943 AG;Beverwijk;;EUR;11-8-2015;75;;
J. Hoogland;Eenmanszaak met eigenaar;2e Tochtweg 47;2914 LM;NIEUWERKERK A/D IJSSEL;;EUR;8-9-2019;1;;
Luijendijk & Van der Wal Graafmachineverhuur- en Transportbedrijf B.V., h.o.n. A.C. van de;BV;Raadsheerenhoek 1;3214 VR;Zuidland;;EUR;17-2-2018;16;;
Transportbedrijf Van Vliet B.V.;BV;Wateringveldseweg 1;2291 HE;WATERINGEN;;EUR;31-01-16;117;;
Heemex B.V.;BV;Industrieweg 15;5861 EK;WANSSUM;;EUR;01-01-18;110;;
Nijman/Zeetank, Internationale Tanktransporten B.V.;BV;Wattweg 2;3208 KH;SPIJKENISSE;;EUR;01-01-18;1;;
Straalcon B.V.;BV;Opperstok 4;2959 ED;STREEFKERK;;NAT;;4;;
K. Hondius, h.o.n. Transportbedrijf Hondius;Eenmanszaak;Weideslagen 16;4823 KJ;BREDA;;EUR;08-09-19;1;;
M.R. Huisman, h.o.n. Fa. J. Huisman en Zn.;Eenmanszaak;Clausstraat 58;3223 XZ;HELLEVOETSLUIS;;EUR;22-03-20;2;;
Verheul Vervoer Driebruggen B.V.;BV;Esdoornstraat 20;3465 JM;DRIEBRUGGEN;;EUR;24-05-15;6;;
Verhuis- en Transportbedrijf Condor B.V.;BV;Bijlstraat 2;3087 AA;ROTTERDAM;;EUR;01-01-18;16;;
P. de Jong B.V.;BV;Benedenrijweg 73;2983 GA;RIDDERKERK;;NAT;;2;;
Hennecken V.o.f.;VOF;Scheepvaartweg 27;6041 TE;ROERMOND;;EUR;01-01-18;6;;
Gebrs. J. en W. de Jongh Transport B.V.;BV;Van Riemsdijkweg 58 -60;3088 HD;ROTTERDAM;;NAT;;54;;
C.J.M. Juffermans, h.o.n. Transportbedrijf C.J.M. Juffermans;Eenmanszaak;Papekopperstraatweg 64;3464 HM;PAPEKOP;;EUR;30-07-17;1;;
R.M. Joosse, h.o.n. R. Joosse;Eenmanszaak;Van Goudoeverstraat 55;4204 XB;GORINCHEM;;NAT;;2;;
Vee- en Vleestransportonderneming Van Boxtel B.V.;BV;Vrusschenhusken 2;6422 PL;HEERLEN;;EUR;01-01-18;1;;
V.o.f. Fa. C. de Koomen;VOF;Blauwesteenweg 3;3273 LB;WESTMAAS;;EUR;07-06-15;6;;
W. Keijl, h.o.n. Willem Keijl Internationaal Transport;Eenmanszaak;Noorderbaan 87;8256 PP;BIDDINGHUIZEN;;EUR;01-01-18;3;;
Transportbedrijf Nic. van der Spek B.V.;BV;Industrieweg 15;2651 BC;BERKEL EN RODENRIJS;;EUR;01-01-18;33;;
Den Hartog en Bikker B.V.;BV;Azewijnseweg 1-7;4214 KC;VUREN;;EUR;01-01-18;99;;
Transport- & Overslagbedrijf Kraan B.V.;BV;Kanaaldijk 15;3542 AP;UTRECHT;;NAT;;5;;
Van den Haak B.V.;BV;Poppenbouwing 19;4191 NZ;GELDERMALSEN;;EUR;01-01-18;45;;
J.M. Kruik, h.o.n. Transportbedrijf J.M. Kruik;Eenmanszaak;Dwarsweg 2;3234 KM;TINTE;;NAT;;1;;
G. van der Ham, h.o.n. Transportbedrijf T. Eijkelboom en Zoon;Eenmanszaak;Noordeinde 77;2445 XC;AARLANDERVEEN;;EUR;01-01-18;2;;
G. van der Laan Transport V.o.f.;VOF;Sterrenlaan 29;2743 LW;WADDINXVEEN;;NAT;;2;;
V.o.f. Firma Gebr. 't Lam;VOF;Hei en Boeicopseweg 2;4126 RJ;HEI- EN BOEICOP;;EUR;01-01-18;3;;
Zeilstra Transport Steigerverhuur B.V.;BV;Kiotoweg 735;3047 BG;ROTTERDAM;;NAT;;9;;
Janco Visser Transport B.V.;BV;Biezenkamp 31;6691 EJ;GENDT;;EUR;01-01-18;6;;
J.H.H. Opreij;Eenmanszaak;Burg. Ronckersplein 7;6269 AL;MARGRATEN;;EUR;01-01-18;3;;
Transportbedrijf Schopman B.V.;BV;Ainsworthstraat 70;7575 BT;OLDENZAAL;;EUR;01-01-18;20;;
H. Burggraaf B.V.;BV;Nieuwe Rijksweg 104;4128 BP;LEXMOND;;NAT;;2;;
Transportbedrijf C. de Groot en Zonen B.V.;BV;Koopliedenweg 10  A;2991 LN;BARENDRECHT;;NAT;;3;;
Oegema Transport Dedemsvaart B.V.;BV;Pascalstraat 26;7701 SE;DEDEMSVAART;;EUR;01-01-18;215;;
Internationaal Transport J.P. Vis & Zn. B.V.;BV;Heulweg 74;2295 KH;KWINTSHEUL;;EUR;01-01-18;48;;
A. van der Lingen Transport B.V.;BV;Doys van der Doesstraat 23;2678 TV;DE LIER;;EUR;14-07-18;7;;
Transport- en Aannemingsbedrijf van der Waal B.V.;BV;Ketelweg 8;3356 LE;PAPENDRECHT;;EUR;22-08-17;4;;
Gebr. Van der Putten B.V.;BV;Achterweg 11 A;2201 AH;NOORDWIJK;;EUR;15-12-18;11;;
V.o.f. Firma Maasland & Zn.;VOF;Walmolen 22;2665 SE;BLEISWIJK;;EUR;10-08-19;1;;
Schenk Papendrecht B.V.;BV;Burgemeester Keijzerweg 6;3352 AR;PAPENDRECHT;;EUR;01-01-18;340;;
V.O.F. Firma Ton Mattheij Transport;VOF;Zilvermos 27;2914 XK;NIEUWERKERK A/D IJSSEL;;NAT;;2;;
V.o.f. Firma Wassenaar;VOF;Hogerhuisdyk 20;9045 RG;BEETGUMERMOLEN;;EUR;19-05-18;9;;
M.N. Meertens, h.o.n. M.N. Meertens Transport;Eenmanszaak;Rottekade 113;2661 JR;BERGSCHENHOEK;;EUR;16-02-19;1;;
Rosendaal Transport Beek B.V.;BV;Matjeskolk 7;7037 DZ;BEEK;;EUR;01-01-18;18;;
V.o.f. Transportbedrijf Fa. A. Muilwijk en Zoon;VOF;Weverwijk 34;4245 KX;LEERBROEK;;EUR;17-02-18;4;;
Gebr. van der Heiden Transport B.V.;BV;Eemweg 31  A;3755 LC;EEMNES;;NAT;;17;;
Wim Bosman Transport B.V.;BV;Industriestraat 10;7041 GD;'s-HEERENBERG;;EUR;01-01-18;162;;
W. van den Heuvel en Zoon Infra B.V., h.o.n. Van Vuuren GWW Transport;BV;Binnenbaan 34;3161 VB;RHOON;;NAT;;10;;
V.o.f. C.J. Paul Transport;VOF;Da Costastraat 25;2712 EV;ZOETERMEER;;EUR;07-06-15;0;;
Nabuurs Transport B.V.;BV;Schuttersweg 16;5443 PR;HAPS;;EUR;01-01-18;300;;
Gist Containers B.V.;BV;Vlakbodem 1;3247 CP;DIRKSLAND;;EUR;01-01-18;100;;
Elgersma Logistiek B.V.;BV;Galvanistraat 15;3846 AT;HARDERWIJK;;EUR;01-01-18;34;;
"Transportbedrijf ""De Lordd"" B.V.";BV;Bredeweg 45;2751 GH;MOERKAPELLE;;EUR;10-01-16;15;;
P.U. Pleune;Eenmanszaak;Hooidrift 118 B;3023 KV;ROTTERDAM;;EUR;08-11-15;1;;
